('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31260    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.020    0.020 _config.py:23(create_ssl_context)
      240    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        2    0.000    0.000    0.019    0.010 _models.py:1(<module>)
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
        2    0.000    0.000    0.018    0.009 _sockets.py:1(<module>)
        1    0.000    0.000    0.018    0.018 ssl.py:683(create_default_context)
      240    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        1    0.017    0.017    0.017    0.017 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      293    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.015    0.008 parser.py:1(<module>)
     3411    0.010    0.000    0.014    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
      274    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      274    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.014    0.014 css_parser.py:326(__init__)
7432/7393    0.003    0.000    0.013    0.000 typing.py:392(inner)
        2    0.000    0.000    0.013    0.006 typing_extensions.py:2942(__call__)
        1    0.000    0.000    0.012    0.012 _fileio.py:1(<module>)
      512    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.012    0.012 feedparser.py:1(<module>)
       16    0.000    0.000    0.012    0.001 css_parser.py:1149(process_selectors)
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
        1    0.000    0.000    0.011    0.011 to_thread.py:1(<module>)
        2    0.000    0.000    0.011    0.006 http11.py:1(<module>)
       26    0.000    0.000    0.011    0.000 dataclasses.py:1257(wrap)
       26    0.001    0.000    0.011    0.000 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
        1    0.000    0.000    0.010    0.010 financial_enhanced.py:26(extract_data_from_html)
        4    0.000    0.000    0.010    0.002 element.py:3024(find_all)
        4    0.000    0.000    0.010    0.002 element.py:1266(_find_all)
        4    0.000    0.000    0.010    0.002 filter.py:163(find_all)
       26    0.002    0.000    0.010    0.000 filter.py:130(filter)
