('Total Revenue', '408,625,000', '391,035,000', '383,285,000', '394,328,000', '365,817,000')
         876947 function calls (852433 primitive calls) in 2.970 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _status_codes.py:8(codes)
      261    0.000    0.000    0.001    0.000 _state.py:316(_fire_state_triggered_transitions)
      232    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       57    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
       61    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
      305    0.000    0.000    0.001    0.000 _connection.py:364(receive_data)
        3    0.000    0.000    0.001    0.000 typing.py:2761(_make_nmtuple)
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       62    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      576    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     3412    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      552    0.000    0.000    0.001    0.000 _receivebuffer.py:77(maybe_extract_at_most)
       53    0.000    0.000    0.001    0.000 typing.py:885(__init__)
      113    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       30    0.000    0.000    0.001    0.000 _readers.py:64(_decode_header_lines)
      513    0.000    0.000    0.001    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _models.py:1249(__init__)
        1    0.000    0.000    0.001    0.001 idna.py:1(<module>)
     3589    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
        1    0.000    0.000    0.001    0.001 _state.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        7    0.000    0.000    0.001    0.000 inspect.py:3308(signature)
      219    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
     4110    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        7    0.000    0.000    0.001    0.000 inspect.py:3050(from_callable)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
      720    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      259    0.000    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      107    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     19/7    0.000    0.000    0.001    0.000 inspect.py:2470(_signature_from_callable)
       21    0.000    0.000    0.001    0.000 typing.py:1519(__getitem__)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      310    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 request.py:315(__init__)
      865    0.000    0.000    0.000    0.000 {built-in method fromkeys}
 1329/953    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        9    0.000    0.000    0.000    0.000 _htmlparser.py:226(handle_charref)
     3388    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
     2921    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      257    0.000    0.000    0.000    0.000 _events.py:299(__init__)
     3411    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      147    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
        8    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
       17    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
        2    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgi.py:1(<module>)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
     2063    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _decoders.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
        1    0.000    0.000    0.000    0.000 _impl.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.000    0.000 request.py:339(full_url)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
       30    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 request.py:370(_parse)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      822    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
     3206    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
      242    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
  547/340    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     3396    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      305    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
        7    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
        1    0.000    0.000    0.000    0.000 _client.py:340(build_request)
        1    0.000    0.000    0.000    0.000 _writers.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     1135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     3652    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _connection.py:151(Connection)
        7    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
        1    0.000    0.000    0.000    0.000 request.py:935(AbstractBasicAuthHandler)
     1135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1246(CookieJar)
      521    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      495    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
      305    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       92    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
        6    0.000    0.000    0.000    0.000 inspect.py:3262(__str__)
     1226    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  216/176    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 timeouts.py:26(Timeout)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      262    0.000    0.000    0.000    0.000 _connection.py:342(_respond_to_state_changes)
     3427    0.000    0.000    0.000    0.000 filter.py:540(matches_tag)
       17    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 http2.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _tasks.py:1(<module>)
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       15    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
      513    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
      299    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
      314    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     1389    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 _base.py:1(<module>)
      113    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
       74    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        9    0.000    0.000    0.000    0.000 inspect.py:2799(__str__)
      112    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
     1877    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 http11.py:140(_send_request_headers)
  225/156    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       15    0.000    0.000    0.000    0.000 inspect.py:1456(formatannotation)
     1744    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      446    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       29    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 default.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        2    0.000    0.000    0.000    0.000 http_proxy.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
      742    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 _tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _receivebuffer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        2    0.000    0.000    0.000    0.000 socks_proxy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _contextmanagers.py:1(<module>)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       25    0.000    0.000    0.000    0.000 dataclasses.py:250(_recursive_repr)
       41    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 parse.py:1095(_splittype)
      428    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      196    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       87    0.000    0.000    0.000    0.000 typing.py:1557(<genexpr>)
     1877    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      769    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      206    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
        7    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       33    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
     3430    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.000    0.000 _client.py:189(__init__)
        1    0.000    0.000    0.000    0.000 element.py:314(ContentMetaAttributeValue)
      610    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
       10    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
      196    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      206    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
     1215    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _models.py:144(__init__)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:179(sub)
        3    0.000    0.000    0.000    0.000 cookiejar.py:949(set_ok)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        3    0.000    0.000    0.000    0.000 _urls.py:77(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
        1    0.000    0.000    0.000    0.000 _models.py:652(encoding)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      513    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
        3    0.000    0.000    0.000    0.000 http11.py:163(_send_event)
        1    0.000    0.000    0.000    0.000 __init__.py:691(DetectsXMLParsedAsHTML)
      894    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 _models.py:1270(info)
        1    0.000    0.000    0.000    0.000 parse.py:1116(_splithost)
        1    0.000    0.000    0.000    0.000 _models.py:688(charset_encoding)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:514(__getitem__)
      495    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 _models.py:961(close)
       26    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 _html5lib.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _urlparse.py:213(urlparse)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 mock.py:1(<module>)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 base.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:746(Literal)
      211    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
      869    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.000    0.000 _models.py:85(_parse_content_type_charset)
    52/22    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 _client.py:156(close)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
      470    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      495    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 cookiejar.py:1578(_cookies_from_attrs_set)
        1    0.000    0.000    0.000    0.000 element.py:1764(Tag)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
    52/22    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 _client.py:1293(__exit__)
        1    0.000    0.000    0.000    0.000 message.py:913(get_content_charset)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      491    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      894    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 _receivebuffer.py:47(ReceiveBuffer)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 message.py:699(get_param)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      392    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.000    0.000 default.py:221(__exit__)
       11    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:670(__new__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      798    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        4    0.000    0.000    0.000    0.000 filter.py:378(__init__)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 default.py:130(close)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
      198    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 _main.py:1(<module>)
      262    0.000    0.000    0.000    0.000 _state.py:299(_fire_event_triggered_transitions)
       30    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
      338    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection_pool.py:358(__exit__)
       22    0.000    0.000    0.000    0.000 _receivebuffer.py:87(maybe_extract_next_line)
        1    0.000    0.000    0.000    0.000 _lxml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection_pool.py:409(close)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 connection_pool.py:347(close)
        3    0.000    0.000    0.000    0.000 _connection.py:517(send)
        1    0.000    0.000    0.000    0.000 _client.py:391(_merge_url)
        3    0.000    0.000    0.000    0.000 connection_pool.py:341(_close_connections)
        7    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        1    0.000    0.000    0.000    0.000 _models.py:383(__init__)
        1    0.000    0.000    0.000    0.000 _eventloop.py:56(AsyncBackend)
       15    0.000    0.000    0.000    0.000 _util.py:108(__new__)
       15    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
        3    0.000    0.000    0.000    0.000 _connection.py:544(send_with_data_passthrough)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 trio.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      119    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       11    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        1    0.000    0.000    0.000    0.000 connection.py:170(close)
       50    0.000    0.000    0.000    0.000 typing.py:1415(__mro_entries__)
        3    0.000    0.000    0.000    0.000 _models.py:53(enforce_headers)
      275    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      433    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
        1    0.000    0.000    0.000    0.000 http11.py:254(close)
        1    0.000    0.000    0.000    0.000 sync.py:141(close)
      196    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
      171    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _events.py:82(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:500(close)
        1    0.000    0.000    0.000    0.000 _headers.py:77(Headers)
        2    0.000    0.000    0.000    0.000 _models.py:371(__init__)
      447    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        1    0.000    0.000    0.000    0.000 _client.py:424(_merge_headers)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:2883(deprecated)
      258    0.000    0.000    0.000    0.000 _connection.py:260(_server_switch_event)
        2    0.000    0.000    0.000    0.000 connection_pool.py:1(<module>)
      449    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 _headers.py:152(normalize_and_validate)
        2    0.000    0.000    0.000    0.000 functools.py:904(wrapper)
        8    0.000    0.000    0.000    0.000 _trace.py:12(__init__)
        2    0.000    0.000    0.000    0.000 _models.py:231(multi_items)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      737    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       30    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:656(_get_params_preserve)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       11    0.000    0.000    0.000    0.000 typing.py:1194(__instancecheck__)
      293    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        2    0.000    0.000    0.000    0.000 connection_pool.py:270(_assign_requests_to_connections)
       69    0.000    0.000    0.000    0.000 typing.py:2476(overload)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1252.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _models.py:274(update)
      302    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        3    0.000    0.000    0.000    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
       10    0.000    0.000    0.000    0.000 typing.py:1841(__init__)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:58(Month)
        2    0.000    0.000    0.000    0.000 interfaces.py:1(<module>)
       26    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       18    0.000    0.000    0.000    0.000 inspect.py:2001(_signature_get_user_defined_method)
        2    0.000    0.000    0.000    0.000 functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
        6    0.000    0.000    0.000    0.000 typing.py:2786(<genexpr>)
        4    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.000    0.000 _events.py:315(EndOfMessage)
        1    0.000    0.000    0.000    0.000 http11.py:152(_send_request_body)
        4    0.000    0.000    0.000    0.000 functools.py:852(register)
        1    0.000    0.000    0.000    0.000 _models.py:441(_prepare)
       11    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
      102    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       16    0.000    0.000    0.000    0.000 typing.py:1971(<genexpr>)
      248    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       61    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
      145    0.000    0.000    0.000    0.000 _models.py:166(encoding)
       15    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
      154    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 taskgroups.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _models.py:516(__init__)
       23    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
        2    0.000    0.000    0.000    0.000 http11.py:36(HTTPConnectionState)
        2    0.000    0.000    0.000    0.000 _subprocesses.py:1(<module>)
        1    0.000    0.000    0.000    0.000 request.py:297(request_host)
       57    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
        1    0.000    0.000    0.000    0.000 readers.py:17(__init__)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        2    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
       14    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _events.py:40(Request)
        1    0.000    0.000    0.000    0.000 _client.py:239(_get_proxy_map)
       55    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      240    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 css_parser.py:681(parse_pseudo_nth)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      259    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      337    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      179    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 http11.py:344(close)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       20    0.000    0.000    0.000    0.000 inspect.py:2712(__init__)
      298    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 _utils.py:30(get_environment_proxies)
        1    0.000    0.000    0.000    0.000 functools.py:774(_find_impl)
      255    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 _events.py:137(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:232(http2time)
        3    0.000    0.000    0.000    0.000 cookiejar.py:1004(set_ok_path)
      611    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
        4    0.000    0.000    0.000    0.000 typing_extensions.py:527(__init__)
